"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Freshwater or Terrestrial Gastropod","Paravitrea lamellidens","Lamellate Supercoil","SC","none","S2S3","G3","Yancey","Current","forested hillsides, especially near talus slopes "
"Freshwater or Terrestrial Gastropod","Paravitrea multidentata","Dentate Supercoil","SR","none","S2S3","G5","Yancey","Current","hillsides, especially near seeps, in hardwood forests"
"Freshwater or Terrestrial Gastropod","Paravitrea varidens","Roan Supercoil","T","none","S1S2","G1G2","Yancey","Current","high elevation forests (endemic to northwestern North Carolina and adjacent Tennessee)"
"Freshwater Fish","Percina aurantiaca","Tangerine Darter","W2","none","S3","G4","Yancey","Current","Tennessee drainages"
"Freshwater Fish","Percina burtoni","Blotchside Logperch","E","none","S1","G2G3","Yancey","Current","South Toe drainage; formerly in French Broad drainage"
"Freshwater Fish","Percina squamata","Olive Darter","SC","none","S2","G3","Yancey","Current","Tennessee drainages"
"Mammal","Perimyotis subflavus","Tricolored Bat","E","PE","S3","G3G4","Yancey","Current","roosts in clumps of leaves (mainly in summer), caves, rock crevices, and other dark and sheltered places"
"Vascular Plant","Phegopteris connectilis","Northern Beech Fern","E","none","S2","G5","Yancey","Current","spray zone of waterfalls, spruce-fir forests, high elevation seepage bogs"
"Freshwater Fish","Phenacobius crassilabrum","Fatlips Minnow","W2","none","S3","G3G4","Yancey","Current","Little Tennessee, French Broad, and Toe drainages"
"Vascular Plant","Phlox amplifolia","Largeleaf Phlox","W1","none","S2","G3G5","Yancey","Historical","hardwood forests on mafic rock"
"Vascular Plant","Phlox subulata","Moss Pink","SR-P","none","S1","G5","Yancey","Current","outcrops and glades, especially over mafic rocks"
"Butterfly","Phyciodes incognitus (syn. Phyciodes pascoensis, Phyciodes selenis, Phyciodes cocyta, Phyciodes incognitus, Phyciodes cocyta incognitus)","Incognito Crescent","W3","none","S3?","GU","Yancey","Current","high to medium elevation openings in woodlands, road banks; host plants -- asters"
"Lichen","Pilophorus fibula","Appalachian matchsticks","SR-T","none","S2","GNR","Yancey","Current","high elevation exposed rock outcrops"
"Natural Community","Pine--Oak/Heath (Typic Subtype)","","","none","S3","G3","Yancey","Current","null"
"Liverwort","Plagiochila caduciloba","A Liverwort","W1","none","S3","G3","Yancey","Historical","rocks and streambanks in humid gorges, spray zone of waterfalls"
"Liverwort","Plagiochila exigua","A Liverwort","SR-D","none","S2","G4?","Yancey","Current","on bark of Fraser Firs in spruce-fir forests, rarely on hardwoods"
"Liverwort","Plagiochila retrorsa (syn. Plagiochila sharpii)","Retrorse Leafy Liverwort","W1","none","S3","G4","Yancey","Historical","damp rock faces in humid gorges, high elevation rocky summits"
"Liverwort","Plagiochila sullivantii","A Liverwort","SR-T","none","S2","G3G4","Yancey","Current","shaded rocks"
"Vascular Plant","Platanthera grandiflora","Large Purple-fringed Orchid","SR-P","none","S2","G5","Yancey","Current","bogs, seeps, grassy balds, high elevation moist forests and banks"
"Vascular Plant","Platanthera herbiola","Northern Rein Orchid","SC-V","none","S1S2","G4?T4Q","Yancey","Historical","bogs and moist forests"
"Vascular Plant","Platanthera peramoena","Purple Fringeless Orchid","T","none","S2","G5","Yancey","Historical","bogs, forests"
"Amphibian","Plethodon ventralis","Southern Zigzag Salamander","SC","none","S2","G4","Yancey","Current","moist areas of talus slopes or rock outcrops in hardwood forests"
"Amphibian","Plethodon welleri","Weller's Salamander","SC","none","S2","G3","Yancey","Current","high elevation forests in northern mountains, mainly in spruce-fir and to a lesser degree, northern hardwood forests"
"Vascular Plant","Poa palustris","Swamp Bluegrass","SR-P","none","S1","G5","Yancey","Historical","spruce-fir forests, grassy balds"
"Bird","Poecile atricapillus","Black-capped Chickadee","SC","none","S3","G5","Yancey","Historical","high elevation forests, mainly spruce-fir [breeding evidence only]"
"Moss","Pohlia longicolla (syn. Pohlia longicollis)","Long Neck Nodding Moss","W1","none","S2?","G4G5","Yancey","Historical","rocks on cliffs, in crevices, on humus or soil"
"Moss","Pohlia melanodon","Pink-fruited Thread-moss","SR-D","none","S1?","G4?","Yancey","Historical","moist, clay soils"
"Butterfly","Polygonia faunus","Green Comma","SR","none","S1S2","G5","Yancey","Current","spruce, fir, or hemlock forests, where mixed with hardwoods; host plants -- mainly birches (Betula)"
"Vascular Plant","Polygonum erectum","Erect Knotweed","W7","none","S1S2","G5","Yancey","Historical","open places"
"Vascular Plant","Polymnia canadensis","Canada Leaf-cup","W7","none","S2","G5","Yancey","Current","moist, rich forests, especially over calcareous rock"
"Moss","Polytrichastrum appalachianum (syn. Polytrichum appalachianum)","Appalachian Haircap Moss","W1","none","S3","G3","Yancey","Historical","rocky summits, mostly in high elevations"
"Vascular Plant","Populus grandidentata","Bigtooth Aspen","W7","none","S2","G5","Yancey","Current","dry ridges and rocky woods"
"Lichen","Porpidia cinereoatra (syn. Porpidia herteliana)","Dark Gray Boulder Lichen","W7","none","S1S3","GNR","Yancey","Current","high elevation rocky summits"
"Stonefly","Pteronarcys comstocki","Spiny Salmonfly","SR","none","S2","G3","Yancey","Current","medium to large cold streams in French Broad and Catawba drainages"
"Liverwort","Radula tenax","A Liverwort","W7","none","S2","G3G4","Yancey","Historical","on moist rocks or bark in humid gorges and cove forests"
"Moss","Rauiella scita","Smaller Fern Moss","W7","none","S2?","G3G5","Yancey","Historical","on rocks, trees, logs"
"Natural Community","Red Spruce--Fraser Fir Forest (Birch Transition Herb Subtype)","","","none","S2","G2","Yancey","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Birch Transition Shrub Subtype)","","","none","S1","G1?","Yancey","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Boulderfield Subtype)","","","none","S1","G1","Yancey","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Herb Subtype)","","","none","S2","G2","Yancey","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Low Rhododendron Subtype)","","","none","S1","G2?","Yancey","Current","null"
"Natural Community","Red Spruce--Fraser Fir Forest (Rhododendron Subtype)","","","none","S1S2","G1","Yancey","Current","null"
"Bird","Regulus satrapa","Golden-crowned Kinglet","W2,W5","none","S3S4B,S5N","G5","Yancey","Current","spruce-fir forests; hardwood forests mixed with spruce or hemlock [breeding season only]"
"Vascular Plant","Rhodiola rosea","Roseroot","E","none","SH","G5","Yancey","Historical","high elevation rocky summits"
"Vascular Plant","Rhododendron vaseyi","Pink-shell Azalea","SR-L","none","S3","G3","Yancey","Current","high elevation oak forests, heath balds, spruce-fir forests, and rocky areas"
"Vascular Plant","Rhynchospora alba","Northern White Beaksedge","SR-P","none","S2","G5","Yancey","Current","fens, bogs, pocosin openings, limesink ponds"
"Moss","Rhytidium rugosum","Golden Tundra-moss","SR-P","none","S2","G5","Yancey","Current","high elevation rocky summits, grassy balds, glades, over mafic rocks"
"Natural Community","Rich Cove Forest (Boulderfield Subtype)","","","none","S2","G3","Yancey","Current","null"
"Natural Community","Rich Cove Forest (Montane Intermediate Subtype)","","","none","S4","G4","Yancey","Current","null"
"Natural Community","Rich Cove Forest (Montane Rich Subtype)","","","none","S3","G3G4","Yancey","Current","null"
"Natural Community","Rich Montane Seep","","","none","S3","G3","Yancey","Current","null"
"Vascular Plant","Robinia viscosa","Clammy Locust","SR-T","none","S1","G3","Yancey","Current","open area, trail sides"
"Natural Community","Rocky Bar and Shore (Mixed Bar Subtype)","","","none","S3","G4","Yancey","Current","null"
"Natural Community","Rocky Bar and Shore (Mountain Bedrock Scour Subtype)","","","none","S2","G3","Yancey","Current","null"
"Vascular Plant","Rubus strigosus","Red Raspberry","T","none","S2?","G5T5","Yancey","Current","high elevation spruce-fir forests and openings"
"Freshwater Fish","Salvelinus fontinalis","Brook Trout","SR","none","S4","G5","Yancey","Current","isolated, high-elevation headwater streams"
"Vascular Plant","Sceptridium oneidense","Blunt-lobed Grape-fern","SR-P","none","S2","G4","Yancey","Historical","cove forests, bogs"
"Moss","Sciuro-hypnum plumosum (syn. Brachythecium plumosum)","Rusty Feather Moss","W7","none","S2?","G5","Yancey","Historical","moist, acid rocks in or near streams"
"Vascular Plant","Scutellaria saxatilis","Rock Skullcap","SR-T","none","S2","G3G4","Yancey","Current","northern hardwoods forests, rocky woodlands"
"Bird","Setophaga cerulea","Cerulean Warbler","SC","none","S2B","G4","Yancey","Current","mature hardwood forests; steep slopes and coves in mountains, natural levees in Coastal Plain [breeding evidence only]"
"Bird","Setophaga coronata","Yellow-rumped Warbler","SR","none","S1B,S5N","G5","Yancey","Current","spruce-fir forests, especially in immature stands [breeding evidence only]"
"Bird","Setophaga magnolia","Magnolia Warbler","SR","none","S2B","G5","Yancey","Current","spruce-fir forests, especially in immature stands [breeding evidence only]"
"Vascular Plant","Silene ovata","Mountain Catchfly","SC-V","none","S3","G3","Yancey","Current","rich slopes, cove forests, montane oak-hickory forests"
"Bird","Sitta canadensis","Red-breasted Nuthatch","W2,W5","none","S3B,S4N","G5","Yancey","Current","high-elevation coniferous forests, preferably spruce-fir [breeding season only]"
"Vascular Plant","Solidago uliginosa var. uliginosa","Bog Goldenrod","SR-P","none","S1S2","G5T4T5","Yancey","Current","bogs, seeps"
"Mammal","Sorex dispar blitchi","Southern Rock Shrew","SR","none","S3","G4T3T4","Yancey","Current","high elevation forests with talus or rocky slopes"
"Mammal","Sorex hoyi","American Pygmy Shrew","W2","none","S3","G5","Yancey","Current","montane deciduous forests; old fields and forests in northeastern Coastal Plain"
"Natural Community","Southern Appalachian Bog (Low Elevation Subtype)","","","none","S1S2","G1G2","Yancey","Current","null"
"Natural Community","Southern Appalachian Bog (Typic Subtype)","","","none","S1S2","G1","Yancey","Current","null"
"Stonefly","Soyedina sheldoni","Mountain Man Forestfly","SR","none","S2","G2","Yancey","Current","springs and streams"
"Moth","Speranza subcessaria","Barred Angle","SR","none","S2S3","G5","Yancey","Current","high elevation forests with gooseberries (Ribes)"
"Butterfly","Speyeria diana","Diana Fritillary","W2","none","S3S4","G2G3","Yancey","Current","montane and foothill forest edges and openings; host plants -- violets (Viola)"
"Moss","Sphagnum squarrosum","Squarrose Peatmoss","SR-P","none","S1","G5","Yancey","Current","spray zones of waterfalls, seepage in spruce-fir forests"
"Liverwort","Sphenolobopsis pearsonii","A Liverwort","SR-O","none","S2","G4","Yancey","Current","on bark of Fraser Firs in spruce-fir forests"
"Bird","Sphyrapicus varius","Yellow-bellied Sapsucker","SR","none","S2B,S5N","G5","Yancey","Current","mature, open hardwoods with scattered dead trees [breeding evidence only]"
"Mammal","Spilogale putorius","Alleghanian Spotted Skunk","SR-G","none","S3","GNR","Yancey","Current","forests with rocks, cliffs, and other den sites"
"Bird","Spinus pinus","Pine Siskin","W3","none","S1B,S3N","G5","Yancey","Current","spruce-fir forests [breeding evidence only]"
"Vascular Plant","Spiraea virginiana","Virginia Spiraea","T","T","S2","G2?","Yancey","Current","riverbanks"
"Vascular Plant","Spiranthes ochroleuca","Yellow Ladies'-tresses","T","none","S1","G4","Yancey","Historical","grassy balds, meadows, wooded slopes"
"Natural Community","Spray Cliff","","","none","S2","G2","Yancey","Current","null"
"Vascular Plant","Stellaria corei","Core's Starwort","W1","none","S3","G4","Yancey","Current","coves, seeps, northern hardwood forests"
"Vascular Plant","Stenanthium leimanthoides","Pinebarren Death-camas","T","none","S1","G4Q","Yancey","Current","high elevation rocky summits, thin soil at high elevations"
"Beetle","Stenelmis gammoni","Gammon's Stenelmis Riffle Beetle","SR","none","S2","G2G3","Yancey","Current","South Fork New River, upper Yadkin River basin"
"Freshwater or Terrestrial Gastropod","Stenotrema altispira","Highland Slitmouth","W2","none","S3S4","G3","Yancey","Current","cove forests and northern hardwood forests"
"Lichen","Sticta fragilinata","Fragile Moon Lichen","W5","none","S2S3","GNR","Yancey","Historical","mid elevation rich forests on hardwoods and rocks"
"Vascular Plant","Streptopus amplexifolius var. amplexifolius","White Mandarin","SR-P","none","S1","G5T5","Yancey","Current","spruce-fir forests (Buncombe, Graham, Haywood, Jackson, Mitchell, Swain*, Yancey)"
"Freshwater or Terrestrial Gastropod","Striatura ferrea","Black Striate","W2","none","S3?","G5","Yancey","Current","ravines and hillsides in higher elevation hardwood forests"
"Crustacean","Stygobromus carolinensis","Yancey Sideswimmer","SR","none","SH","GH","Yancey","Historical","seeps at Mount Mitchell (endemic to North Carolina)"
"Natural Community","Swamp Forest--Bog Complex (Spruce Subtype)","","","none","S1","G2?","Yancey","Current","null"
"Natural Community","Swamp Forest--Bog Complex (Typic Subtype)","","","none","S2","G2","Yancey","Current","null"
"Mammal","Sylvilagus obscurus","Appalachian Cottontail","SR-G","none","S3","G4","Yancey","Current","dense cover of montane woods and thickets"
"Mammal","Synaptomys cooperi stonei","Stone's Southern Bog Lemming","W2","none","S3","G5TNR","Yancey","Current","bogs and wet meadows"
"Vascular Plant","Thermopsis fraxinifolia","Ash-leaved Golden-banner","SC-V","none","S2?","G3?","Yancey","Current","dry ridges"
"Beetle","Trechus carolinae","a Ground Beetle","W3","none","SU","GH","Yancey","Historical","Spruce-Fir forests of the Black Mountains; type locality Mt. Mitchell (endemic to North Carolina)"
"Beetle","Trechus mitchellensis","Mitchell's Ground Beetle","W3","none","SU","GH","Yancey","Historical","Black Mountains (endemic to North Carolina)"
"Vascular Plant","Trichophorum cespitosum","Deerhair Bulrush","SR-D","none","S2S3","G5","Yancey","Current","high elevation rocky summits, moist cliffs"
"Vascular Plant","Trichostema brachiatum","Glade Bluecurls","E","none","S1","G5","Yancey","Historical","diabase glades, other dry calcareous or mafic outcrops"
"Vascular Plant","Trillium rugelii","Southern Nodding Trillium","W1","none","S3","G4","Yancey","Current","rich woods and coves over mafic and calcareous rocks"
"Vascular Plant","Trillium simile","Sweet White Trillium","SC-V","none","S2","G3","Yancey","Current","rich coves"
"Vascular Plant","Triphora trianthophoros var. trianthophoros","Three Birds Orchid","W1","none","S2S3","G4?T4?","Yancey","Current","humid forests and swamps"
"Bird","Troglodytes hiemalis","Winter Wren","W2,W5","none","S3B,S5N","G5","Yancey","Current","cool, moist forests at mid elevations to high elevations [breeding evidence only]"
"Vascular Plant","Tsuga canadensis","Eastern Hemlock","W5","none","S4S5","G4G5","Yancey","Current","moist soils"
"Vascular Plant","Tsuga caroliniana","Carolina Hemlock","W5","none","S2","G3","Yancey","Current","open forests on ridgetops, rocky bluffs, or gorge walls"
"Bird","Tyto alba","Barn Owl","SC","none","S2S3B,S3N","G5","Yancey","Current","extensive open country, nesting in old buildings, silos, large tree cavities [breeding evidence only]"
"Vascular Plant","Utricularia subulata","Zigzag Bladderwort","","none","S4","G5","Yancey","Current","bogs, ditches and sandy depressions"
"Freshwater or Terrestrial Gastropod","Ventridens lawae","Rounded Dome","SR","none","S2S3","G4","Yancey","Current","hillsides and ravines in hardwood forests"
"Vascular Plant","Verbesina walteri","Walter's Crownbeard","SR-T","none","S1","G4","Yancey","Current","rich cove forests"
"Bird","Vermivora chrysoptera","Golden-winged Warbler","SC","none","S2S3B","G4","Yancey","Current","old fields and successional hardwoods [breeding evidence only]"
"Bird","Vermivora cyanoptera","Blue-winged Warbler","SR","none","S2B","G5","Yancey","Current","low elevation brushy fields and thickets [breeding evidence only]"
"Vascular Plant","Veronica americana","American Speedwell","T","none","S1","G5","Yancey","Historical","seeps, bogs"
"Vascular Plant","Veronicastrum virginicum","Culver's-root","W7","none","S2?","G4","Yancey","Historical","bogs, wet meadows, dry soils over mafic rocks"
"Vascular Plant","Viola tripartita","Three-parted Violet","W7","none","S1","G5T3","Yancey","Historical","forests associated with basic soils"
"Moss","Warnstorfia fluitans","Floating Sickle-moss","SR-D","none","S1","G5","Yancey","Current","in spray zones of waterfalls"
"Moth","Xestia perquiritata","Boomerang Dart","SR","none","S1","G5","Yancey","Current","spruce-fir forests"
"Moss","Zygodon viridissimus var. rupestris","A Moss","W7","none","S2?","G5TNR","Yancey","Historical","trunks of trees and on rocks"
